"Role","Index","Pose Index","Visible","Activity Miner Focus","Fav","Structure","Title","Radial Plot","Ref","Protein","MW","#Atoms","SlogP","TPSA","Flexibility","#RB","HBA","HBD","Rof5","Filename","Tags","Confs","Conf Energy","Poses","Notes","Activity (Primary)","LE (Primary)","LipE (Primary)","LF Rank Score","LF dG","LF VSscore","LF LE","PUBCHEM_COMPOUND_CID","PUBCHEM_CONFORMER_RMSD","PUBCHEM_CONFORMER_DIVERSEORDER","PUBCHEM_MMFF94_PARTIAL_CHARGES","PUBCHEM_EFFECTIVE_ROTOR_COUNT","PUBCHEM_PHARMACOPHORE_FEATURES","PUBCHEM_HEAVY_ATOM_COUNT","PUBCHEM_ATOM_DEF_STEREO_COUNT","PUBCHEM_ATOM_UDEF_STEREO_COUNT","PUBCHEM_BOND_DEF_STEREO_COUNT","PUBCHEM_BOND_UDEF_STEREO_COUNT","PUBCHEM_ISOTOPIC_ATOM_COUNT","PUBCHEM_COMPONENT_COUNT","PUBCHEM_CACTVS_TAUTO_COUNT","PUBCHEM_CONFORMER_ID","PUBCHEM_MMFF94_ENERGY","PUBCHEM_FEATURE_SELFOVERLAP","PUBCHEM_SHAPE_FINGERPRINT","PUBCHEM_SHAPE_MULTIPOLES","PUBCHEM_SHAPE_SELFOVERLAP","PUBCHEM_SHAPE_VOLUME","PUBCHEM_COORDINATE_TYPE"
"isoeugenol","2","1",FALSE,"",FALSE,"Oc1ccc(cc1OC)CC=C","3314_D","","","SWISS-MODEL SERVER (https://swissmodel.expasy.org) Untitled Project_P","164.2","12","2.0","29.5","3.0","4","2","1","0","isoeugenol.sdf","","0","","6","","No Primary Activity Set","Invalid","Invalid","-6.448","-6.533","-7.074","-0.544","3314","0.6","1
7
6
2
8
5
9
3
4","19
1 -0.36
10 -0.29
11 0.28
12 -0.3
15 0.15
16 0.15
17 0.15
18 0.15
2 -0.53
22 0.45
23 0.15
24 0.15
3 -0.14
4 0.28
5 -0.15
6 0.08
7 -0.15
8 0.08
9 -0.15","3","4
1 1 acceptor
1 12 hydrophobe
1 2 donor
6 3 5 6 7 8 9 rings","12","0","0","0","0","0","1","3","00000CF200000001","35.5333","20.297","10149128 76 18337389443461656621
10608611 8 18334857225544458337
11206711 2 18196667197755345276
12932764 1 17822010895982825227
13380535 21 18124049067588474250
13380536 305 18410294692102672318
13922767 16 18411693262403359352
14325111 11 18411698824639208651
14415576 193 18411135818914762949
14648413 74 18334581264783380107
14897335 6 18199180861978184152
14911166 2 18341620274069223390
14993402 34 18271250426248514014
15219456 202 18335425694382960795
15279308 100 18408609183779575958
16945 1 18341061713329765850
18186145 218 18343310262095515161
20201158 50 18339642222633464815
20233049 118 18115027390209799772
20606313 2 18339077069208690583
20653085 51 18407761439235382521
21040471 1 18055073417765351322
21130352 189 18335420140768837252
21524375 3 18265891556465708673
21947302 44 18335697230768457553
23402655 69 18198613334143792805
23559900 14 17699588123842943452
25 1 18336548192712757975
2748010 2 18198071467509626530
3060560 45 18199461082814265687
3071541 158 18336553733125559524","235.22
5.24
2.13
0.81
3.94
0.52
-0.02
2.23
1.08
-1.36
0.38
0.13
0.07
0.33","481.034","136.6","2
5
10"
"Conformer3D_COMPOUND_CID_853433","2","1",FALSE,"",FALSE,"Oc1ccc(cc1OC)/C=C/C","853433_D","","","SWISS-MODEL SERVER (https://swissmodel.expasy.org) Untitled Project_P","164.2","12","2.4","29.5","1.3","3","2","1","0","Conformer3D_COMPOUND_CID_853433.sdf","","0","","6","","No Primary Activity Set","Invalid","Invalid","-6.999","-6.633","-7.201","-0.553","853433","0.6","1
2","18
1 -0.36
10 -0.29
11 0.14
12 0.28
13 0.15
14 0.15
15 0.15
16 0.15
17 0.15
2 -0.53
24 0.45
3 0.03
4 0.08
5 -0.15
6 -0.15
7 0.08
8 -0.15
9 -0.18","2","4
1 1 acceptor
1 11 hydrophobe
1 2 donor
6 3 4 5 6 7 8 rings","12","0","0","1","0","0","1","3","000D05B900000001","39.1084","20.297","10608611 8 18342737446992826016
11206711 2 18342448257837912669
13024252 1 11314296269983272995
13380535 76 18266453201002344355
14325111 11 18411702058807611258
14614273 12 18409167679962752581
14897335 6 18337947866403438436
15775835 57 18335143051159587592
16945 1 18340195392624651819
18186145 218 18129672893961311244
20510252 161 18343868818165628224
20645477 56 18343305907399701224
20871998 184 18129951207283384375
21501502 16 18266734693027243875
21524375 3 18265890268007155280
23402539 116 18341604979527171655
23552423 10 18265615377215907018
23559900 14 18059576850812059146
2748010 2 18268719302904339527
305870 269 18188208685263423834
53812653 8 18409725170817841106
6333449 129 18413106151940784296","235.22
5.77
2.12
0.67
6.29
0.38
-0.02
2.23
-0.28
-1.73
-0.32
-0.08
0.09
0.11","482.327","137.1","2
5
10"
